person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
32,87600,RENT,6.1,DEBTCONSOLIDATION,B,4000,6.02,0,0.05,N,0
29,114600,MORTGAGE,3.0,DEBTCONSOLIDATION,B,50000,8.08,0,0.44,N,1
52,123100,RENT,13.3,PERSONAL,B,50000,6.92,0,0.41,N,7
44,87400,RENT,9.7,MEDICAL,C,39400,7.17,0,0.45,N,7
37,52000,MORTGAGE,3.1,HOMEIMPROVEMENT,C,22100,7.41,0,0.42,N,4
38,52100,MORTGAGE,8.9,EDUCATION,A,4800,6.38,0,0.09,N,3
54,40500,MORTGAGE,3.5,HOMEIMPROVEMENT,C,26100,7.35,0,0.64,N,7
58,91800,RENT,3.3,DEBTCONSOLIDATION,B,29900,7.5,0,0.33,N,8
28,180000,RENT,3.6,HOMEIMPROVEMENT,D,50000,7.49,1,0.28,Y,6
28,58700,RENT,3.5,PERSONAL,F,34000,9.61,0,0.58,Y,4
68,350000,RENT,15.7,VENTURE,B,50000,8.04,0,0.14,Y,5
38,69100,OWN,8.1,PERSONAL,B,28800,8.06,0,0.42,N,3
65,82400,RENT,9.1,VENTURE,A,14100,5.88,0,0.17,N,3
57,70200,MORTGAGE,13.1,EDUCATION,C,37900,8.36,1,0.54,N,6
27,115300,RENT,1.5,DEBTCONSOLIDATION,C,24800,9.75,0,0.22,N,1
43,69400,OTHER,1.5,DEBTCONSOLIDATION,A,3100,6.01,0,0.04,N,8
70,184300,RENT,0.9,MEDICAL,B,50000,7.45,0,0.27,N,5
40,124900,OWN,9.4,EDUCATION,A,50000,5.58,0,0.4,N,12
58,54400,OWN,7.1,DEBTCONSOLIDATION,B,12300,8.59,0,0.23,N,5
44,58200,MORTGAGE,10.5,EDUCATION,A,16200,7.81,0,0.28,N,5
29,54100,MORTGAGE,13.0,HOMEIMPROVEMENT,A,20700,5.4,0,0.38,N,7
65,79800,RENT,2.9,DEBTCONSOLIDATION,E,47300,10.61,0,0.59,N,7
35,65500,MORTGAGE,11.7,MEDICAL,B,29300,7.93,0,0.45,N,6
32,47200,RENT,6.7,VENTURE,E,26400,9.4,0,0.56,N,5
70,197300,MORTGAGE,6.4,EDUCATION,A,50000,6.89,0,0.25,Y,18
33,59600,RENT,2.6,HOMEIMPROVEMENT,B,20600,7.88,0,0.35,N,3
66,114800,RENT,2.9,DEBTCONSOLIDATION,E,48100,11.51,0,0.42,Y,5
32,86100,RENT,10.6,PERSONAL,C,47100,7.6,0,0.55,N,9
52,116400,OWN,8.2,DEBTCONSOLIDATION,C,50000,8.5,0,0.43,N,8
46,46200,RENT,13.1,VENTURE,D,29700,8.26,0,0.64,N,8
34,71100,MORTGAGE,7.9,EDUCATION,A,12100,7.83,0,0.17,N,4
42,102300,MORTGAGE,5.7,MEDICAL,D,50000,9.07,0,0.49,Y,2
66,113500,RENT,9.6,MEDICAL,E,46500,9.19,0,0.41,Y,14
50,104300,RENT,7.4,DEBTCONSOLIDATION,E,50000,7.58,0,0.48,N,2
57,244400,OWN,0.9,DEBTCONSOLIDATION,C,20700,8.08,1,0.08,Y,2
63,26900,OTHER,3.4,VENTURE,D,15100,7.19,0,0.56,N,3
61,56900,OWN,3.5,VENTURE,C,28300,9.87,0,0.5,N,4
29,107700,OWN,12.2,DEBTCONSOLIDATION,A,43600,5.4,0,0.4,N,9
50,24900,MORTGAGE,3.4,DEBTCONSOLIDATION,C,8100,5.4,0,0.33,N,3
29,93200,MORTGAGE,1.3,EDUCATION,D,23200,8.61,1,0.25,Y,2
37,58300,RENT,3.5,EDUCATION,F,35200,12.77,1,0.6,Y,9
58,121300,MORTGAGE,7.5,PERSONAL,B,50000,5.64,1,0.41,N,6
39,83200,RENT,9.9,EDUCATION,D,42400,9.28,1,0.51,N,3
30,30000,RENT,6.6,HOMEIMPROVEMENT,C,13400,6.61,1,0.45,N,4
28,124400,RENT,2.4,EDUCATION,B,43800,7.62,1,0.35,N,6
43,199700,MORTGAGE,7.5,EDUCATION,A,11600,5.99,0,0.06,N,5
57,93800,MORTGAGE,4.1,DEBTCONSOLIDATION,D,50000,7.72,0,0.53,N,1
43,70400,MORTGAGE,7.6,HOMEIMPROVEMENT,A,17900,5.4,0,0.25,N,12
61,66400,OWN,3.2,DEBTCONSOLIDATION,C,32700,8.5,0,0.49,N,7
35,63000,MORTGAGE,3.1,HOMEIMPROVEMENT,E,39300,8.76,0,0.62,Y,11
38,35300,RENT,1.2,PERSONAL,F,19100,12.12,1,0.54,Y,6
69,127800,OTHER,5.0,DEBTCONSOLIDATION,E,50000,10.06,1,0.39,Y,9
63,138400,RENT,3.6,PERSONAL,C,50000,7.91,0,0.36,N,13
23,93700,RENT,7.0,EDUCATION,B,30000,6.72,0,0.32,N,3
41,63000,RENT,1.0,MEDICAL,C,22700,7.5,0,0.36,N,7
53,116900,RENT,0.3,VENTURE,A,5000,7.74,0,0.04,N,10
27,25700,MORTGAGE,11.0,PERSONAL,B,10000,5.4,0,0.39,N,3
61,54400,MORTGAGE,13.0,HOMEIMPROVEMENT,C,23800,7.23,0,0.44,Y,6
24,105100,RENT,7.2,EDUCATION,A,19200,5.4,0,0.18,N,4
60,117300,MORTGAGE,5.2,EDUCATION,D,50000,9.32,0,0.43,N,6
49,51200,MORTGAGE,20.4,PERSONAL,A,2600,7.37,0,0.05,N,10
61,88200,RENT,2.8,DEBTCONSOLIDATION,D,36000,5.52,1,0.41,N,0
44,146300,RENT,7.3,DEBTCONSOLIDATION,C,50000,6.54,0,0.34,N,2
62,84400,OWN,4.7,DEBTCONSOLIDATION,B,10800,7.46,0,0.13,Y,6
66,94000,OWN,5.0,EDUCATION,C,50000,8.58,0,0.53,N,4
28,34400,OWN,6.5,VENTURE,B,12000,8.3,0,0.35,N,12
56,128400,RENT,6.1,PERSONAL,B,12300,7.36,0,0.1,Y,1
55,130500,OWN,9.6,HOMEIMPROVEMENT,A,7700,5.64,0,0.06,N,6
63,80300,MORTGAGE,2.8,PERSONAL,A,9200,5.86,0,0.11,N,9
25,63000,RENT,4.7,MEDICAL,E,40400,7.88,1,0.64,N,9
55,30300,MORTGAGE,8.4,MEDICAL,C,13300,6.41,1,0.44,N,3
63,158100,MORTGAGE,13.6,DEBTCONSOLIDATION,A,50000,6.96,0,0.32,N,13
55,65000,RENT,2.9,MEDICAL,B,17600,7.23,0,0.27,N,5
47,58100,MORTGAGE,5.0,EDUCATION,A,3300,5.4,0,0.06,N,2
43,95500,MORTGAGE,9.1,MEDICAL,C,50000,7.23,0,0.52,N,5
40,56800,MORTGAGE,7.8,PERSONAL,A,13900,5.4,1,0.24,N,2
46,50100,MORTGAGE,5.5,MEDICAL,A,6900,6.04,0,0.14,N,11
63,132100,MORTGAGE,5.3,MEDICAL,B,44700,7.5,0,0.34,N,8
50,64400,MORTGAGE,8.0,EDUCATION,D,24800,9.52,0,0.39,Y,5
32,83400,MORTGAGE,3.7,DEBTCONSOLIDATION,C,36100,6.04,0,0.43,N,10
63,124300,OWN,5.9,VENTURE,B,32300,5.98,0,0.26,N,7
39,113600,MORTGAGE,4.2,HOMEIMPROVEMENT,C,50000,8.05,1,0.44,N,6
